,Airline ID,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,type
4859,6227,Sintang(Susilo) Airport,Sintang-Borneo Island,Indonesia,0.06361900269985199,111.4729995727539,98,7.0,N,airport
4860,6228,Pendopo Airport,Talang Gudang-Sumatra Island,Indonesia,-3.2860701084136963,103.87999725341795,184,7.0,N,airport
4861,6229,Malikus Saleh Airport,Lhok Seumawe-Sumatra Island,Indonesia,5.226679801940918,96.95030212402344,90,7.0,N,airport
4862,6230,Pulau Pangkor Airport,Pangkor Island,Malaysia,4.244719982147217,100.5530014038086,19,8.0,N,airport
4863,6232,Long Bawan Airport,Long Bawan-Borneo Island,Indonesia,3.9028,115.6921,3165,8.0,N,airport
4864,6233,Nunukan Airport,Nunukan-Nunukan Island,Indonesia,4.13333333333,117.666666667,30,8.0,N,airport
4865,6234,Long Apung Airport,Long Apung-Borneo Island,Indonesia,1.7044860000000002,114.970297,627,8.0,N,airport
4866,6235,Albany Airport,Albany,Australia,-34.94329833984375,117.80899810791016,233,8.0,O,airport
4867,6236,Argyle Airport,Argyle,Australia,-16.6369,128.451004,522,8.0,O,airport
4868,6237,Aurukun Airport,Aurukun,Australia,-13.354067,141.72065,31,10.0,O,airport
4869,6238,Barcaldine Airport,Barcaldine,Australia,-23.565299987800003,145.307006836,878,10.0,O,airport
4870,6239,Badu Island Airport,Badu Island,Australia,-10.1499996185,142.1734,14,10.0,O,airport
4871,6240,Birdsville Airport,Birdsville,Australia,-25.897499084472656,139.34800720214844,159,10.0,O,airport
4872,6241,Broken Hill Airport,Broken Hill,Australia,-32.0013999939,141.472000122,958,9.5,O,airport
4873,6242,Hamilton Island Airport,Hamilton Island,Australia,-20.358100891099998,148.95199585,15,10.0,O,airport
4874,6243,Bedourie Airport,Bedourie,Australia,-24.346099853515625,139.46000671386722,300,10.0,O,airport
4875,6244,Bourke Airport,Bourke,Australia,-30.03919982910156,145.95199584960938,352,10.0,O,airport
4876,6245,Burketown Airport,Burketown,Australia,-17.748600006103516,139.53399658203122,21,10.0,O,airport
4877,6246,Boigu Airport,Boigu,Australia,-9.23278045654,142.218002319,23,10.0,O,airport
4878,6247,Oakey Airport,Oakey,Australia,-27.411399841308594,151.73500061035156,1335,10.0,O,airport
4879,6248,Boulia Airport,Boulia,Australia,-22.913299560546875,139.89999389648438,542,10.0,O,airport
4880,6249,Bathurst Airport,Bathurst,Australia,-33.409400939899996,149.65199279799998,2435,10.0,O,airport
4881,6250,Blackwater Airport,Blackwater,Australia,-23.60309982299805,148.8070068359375,657,10.0,O,airport
4882,6251,Carnarvon Airport,Carnarvon,Australia,-24.880211,113.67174,13,8.0,O,airport
4883,6252,Cobar Airport,Cobar,Australia,-31.538299560546875,145.79400634765625,724,10.0,O,airport
4884,6253,Coober Pedy Airport,Coober Pedy,Australia,-29.040000915527344,134.72099304199222,740,9.5,O,airport
4885,6254,Coconut Island Airport,Coconut Island,Australia,-10.050000190734863,143.07000732421875,3,10.0,O,airport
4886,6255,Cloncurry Airport,Cloncurry,Australia,-20.6686000824,140.503997803,616,10.0,O,airport
4887,6256,Ceduna Airport,Ceduna,Australia,-32.130599975585945,133.71000671386722,77,9.5,O,airport
4888,6257,Cooktown Airport,Cooktown,Australia,-15.444700241088867,145.1840057373047,26,10.0,O,airport
4889,6258,Cunnamulla Airport,Cunnamulla,Australia,-28.03000068664551,145.6219940185547,630,10.0,O,airport
4890,6259,Coonamble Airport,Coonamble,Australia,-30.98329925537109,148.37600708007812,604,10.0,O,airport
4891,6260,Coen Airport,Coen,Australia,-13.761133,143.113311,532,10.0,O,airport
4892,6261,Cooma Snowy Mountains Airport,Cooma,Australia,-36.3005981445,148.973999023,3088,10.0,O,airport
4893,6262,Doomadgee Airport,Doomadgee,Australia,-17.9403,138.82200600000002,153,10.0,O,airport
4894,6263,Darnley Island Airport,Darnley Island,Australia,-9.583330154418944,143.76699829101562,0,10.0,O,airport
4895,6264,Devonport Airport,Devonport,Australia,-41.169700622600004,146.429992676,33,10.0,O,airport
4896,6265,Elcho Island Airport,Elcho Island,Australia,-12.019399642899998,135.570999146,101,9.5,O,airport
4897,6266,Esperance Airport,Esperance,Australia,-33.684399,121.822998,470,8.0,O,airport
4898,6267,Flinders Island Airport,Flinders Island,Australia,-40.0917015076,147.992996216,10,10.0,O,airport
4899,6268,Geraldton Airport,Geraldton,Australia,-28.796101,114.707001,121,8.0,O,airport
4900,6269,Gladstone Airport,Gladstone,Australia,-23.869699,151.223007,64,10.0,O,airport
4901,6270,Groote Eylandt Airport,Groote Eylandt,Australia,-13.975000381500001,136.460006714,53,9.5,O,airport
4902,6271,Griffith Airport,Griffith,Australia,-34.250801086399996,146.067001343,439,10.0,O,airport
4903,6272,Horn Island Airport,Horn Island,Australia,-10.586400032,142.289993286,43,10.0,O,airport
4904,6273,Hooker Creek Airport,Hooker Creek,Australia,-18.3367004395,130.638000488,320,9.5,O,airport
4905,6274,Mount Hotham Airport,Mount Hotham,Australia,-37.0475006104,147.333999634,4260,10.0,O,airport
4906,6275,Hughenden Airport,Hughenden,Australia,-20.815000534057614,144.22500610351562,1043,10.0,O,airport
4907,6276,Julia Creek Airport,Julia Creek,Australia,-20.66830062866211,141.72300720214844,404,10.0,O,airport
4908,6277,Kalbarri Airport,Kalbarri,Australia,-27.692813,114.259169,157,8.0,O,airport
4909,6278,King Island Airport,King Island,Australia,-39.87749862670898,143.8780059814453,132,10.0,O,airport
4910,6279,Kalkgurung Airport,Kalkgurung,Australia,-17.431900024414062,130.80799865722656,646,9.5,O,airport
4911,6280,Karumba Airport,Karumba,Australia,-17.45669937133789,140.8300018310547,5,10.0,O,airport
4912,6281,Kowanyama Airport,Kowanyama,Australia,-15.485600471496582,141.75100708007812,35,10.0,O,airport
4913,6282,Kubin Airport,Kubin,Australia,-10.2250003815,142.218002319,15,10.0,O,airport
4914,6283,Leonora Airport,Leonora,Australia,-28.87809944152832,121.31500244140624,1217,8.0,O,airport
4915,6284,Lake Evella Airport,Lake Evella,Australia,-12.498900413513185,135.80599975585938,256,9.5,O,airport
4916,6285,Lord Howe Island Airport,Lord Howe Island,Australia,-31.5382995605,159.07699585,5,10.5,O,airport
4917,6286,Lockhart River Airport,Lockhart River,Australia,-12.7869,143.304993,77,10.0,O,airport
4918,6287,Lismore Airport,Lismore,Australia,-28.8302993774,153.25999450700002,35,10.0,O,airport
4919,6288,Lightning Ridge Airport,Lightning Ridge,Australia,-29.45669937133789,147.98399353027344,540,10.0,O,airport
4920,6289,Longreach Airport,Longreach,Australia,-23.4342002869,144.279998779,627,10.0,O,airport
4921,6290,Leinster Airport,Leinster,Australia,-27.843299865722656,120.7030029296875,1631,8.0,O,airport
4922,6291,Laverton Airport,Laverton,Australia,-28.61359977722168,122.42400360107422,1530,8.0,O,airport
4923,6292,Mabuiag Island Airport,Mabuiag Island,Australia,-9.949999809265137,142.18299865722656,0,10.0,O,airport
4924,6293,Meekatharra Airport,Meekatharra,Australia,-26.6117000579834,118.5479965209961,1713,8.0,O,airport
4925,6294,Merimbula Airport,Merimbula,Australia,-36.9085998535,149.901000977,7,10.0,O,airport
4926,6295,Milingimbi Airport,Milingimbi,Australia,-12.094400405899998,134.893997192,53,9.5,O,airport
4927,6296,Maningrida Airport,Maningrida,Australia,-12.0560998917,134.23399353,123,9.5,O,airport
4928,6297,McArthur River Mine Airport,McArthur River Mine,Australia,-16.4424991608,136.083999634,131,9.5,O,airport
4929,6298,Mildura Airport,Mildura,Australia,-34.229198455799995,142.085998535,167,10.0,O,airport
4930,6299,Mount Magnet Airport,Mount Magnet,Australia,-28.116100311279297,117.84200286865234,1354,8.0,O,airport
4931,6300,Moree Airport,Moree,Australia,-29.4988994598,149.845001221,701,10.0,O,airport
4932,6301,Moranbah Airport,Moranbah,Australia,-22.057800293000003,148.07699585,770,10.0,O,airport
4933,6302,Moruya Airport,Moruya,Australia,-35.8978004456,150.143997192,14,10.0,O,airport
4934,6303,Mount Gambier Airport,Mount Gambier,Australia,-37.745601654052734,140.78500366210938,212,9.5,O,airport
4935,6304,Mornington Island Airport,Mornington Island,Australia,-16.662500381469727,139.17799377441406,33,10.0,O,airport
4936,6305,Murray Island Airport,Murray Island,Australia,-9.91666984558,144.054992676,300,10.0,O,airport
4937,6306,Maryborough Airport,Maryborough,Australia,-25.5133,152.714996,38,10.0,O,airport
4938,6307,Narrandera Airport,Narrandera,Australia,-34.702201843299996,146.511993408,474,10.0,O,airport
4939,6308,Narrabri Airport,Narrabri,Australia,-30.3192005157,149.82699585,788,10.0,O,airport
4940,6309,Normanton Airport,Normanton,Australia,-17.684089999999994,141.069664,73,10.0,O,airport
4941,6310,Newman Airport,Newman,Australia,-23.417800903299998,119.803001404,1724,8.0,O,airport
4942,6311,Olympic Dam Airport,Olympic Dam,Australia,-30.4850006104,136.876998901,343,9.5,O,airport
4943,6312,Port Augusta Airport,Argyle,Australia,-32.50690078735352,137.71699523925778,56,9.5,O,airport
4944,6313,Palm Island Airport,Palm Island,Australia,-18.755300521850586,146.58099365234375,28,10.0,O,airport
4945,6314,Paraburdoo Airport,Paraburdoo,Australia,-23.171100616500002,117.745002747,1406,8.0,O,airport
4946,6315,Cocos (Keeling) Islands Airport,Cocos Keeling Island,Cocos (Keeling) Islands,-12.1883001328,96.8339004517,10,6.5,U,airport
4947,6316,Gove Airport,Gove,Australia,-12.269399642899998,136.817993164,192,9.5,O,airport
4948,6317,Parkes Airport,Parkes,Australia,-33.131401061999995,148.238998413,1069,10.0,O,airport
4949,6318,Port Lincoln Airport,Port Lincoln,Australia,-34.6053009033,135.880004883,36,9.5,O,airport
4950,6319,Pormpuraaw Airport,Pormpuraaw,Australia,-14.896451,141.60908,10,10.0,O,airport
4951,6320,Port Macquarie Airport,Port Macquarie,Australia,-31.435800552399996,152.863006592,12,10.0,O,airport
4952,6321,Portland Airport,Portland,Australia,-38.31809997558594,141.4709930419922,265,10.0,O,airport
4953,6322,Quilpie Airport,Quilpie,Australia,-26.612199783325195,144.2530059814453,655,10.0,O,airport
4954,6323,Ramingining Airport,Ramingining,Australia,-12.356399536132812,134.89799499511722,206,9.5,O,airport
